Industry Grouping,Contribution
Total,0.6
N: Admin. Services,0.6
C: Manufacturing,0.6
J: IT,0.4
Between-industry reallocation,0.3
F: Construction,0.3
R: Recreation and Culture,0.1
P: Education,0.1
G: Wholesale and Retail,0.1
D: Energy,0
I: Hotels and Catering,0
Q: Health,0
H: Transport and Storage,0
O: Public admin and defence,0
A: Agriculture,-0.1
ST: Other Services,-0.1
L: Real Estate,-0.2
B: Mining and Quarrying,-0.2
M: Business Services,-0.3
E: Water Supply,-0.3
K: Finance and Insurance,-0.5
